IoC,Type
CVE-2023-3519,Vuln
CVE-2023-48788,Vuln
CVE-2024-57727,Vuln
CVE-2025-5777,Vuln
03dd0efa84d145d7d4ed8e240267e5c5,FileHash1
dce9ad6317ce147f1f3f74bc93d9252a,FileHash1
eb37c4fcfc00d3813ab94f4d59378b47,FileHash1
16bad42a397db2e075e09b5b9dd53aaa67b495a4,FileHash2
265a8e89464e32b22553ef16edbab703da7176a7,FileHash2
70331fdf528f4f5b75b5e30427e379bc88aa05b4,FileHash2
1898d056463284d849801cbdea6a3dec6c9f568f01569912c3868a5eea9a5449,FileHash3
1d10d8f5a420d0e4683b4cb40bcf0c984d1e7ea1f3b4442a00a525584632ac11,FileHash3
24f6c0ca39b2a5593086ff56d818ddfbde121f8e44d54faa762e510397dc9db7,FileHash3
31800380c359143ae82c4f9011eee653dd22443d03d6a499148203bbfc275502,FileHash3
589d9480fbfec2d8e61638eb0b537183d0f9977411fd1d2c0f8eb611feebe880,FileHash3
5cc212f84d2bf3fbab165aaf09b16e00fcf2f1ccd880d24b14404c53dcdbf241,FileHash3
60aeb9f7bccf377ff02ed64783e66a62c0f976878d9729b067bc7e5b0b9da9d6,FileHash3
6bf155b269d452f3c3b62832b27bbebe4da436e228dbf521155b1d5989e3743f,FileHash3
6cd349eda0fa6c8b274a0920852c68f8b727afea1fdbc69ad183cef05d9cf141,FileHash3
765508aa2ec6a1b73a76a23f4fa559d32355622748c91a46ed7b315eae2ee60a,FileHash3
7f37351979c249417cb180b4ede0ed17e5fe2a1f08add4d72606b589f8fdb245,FileHash3
8d1a22c430252f29611766b8e4a82af0fba60d609246463466b384d6d4793df4,FileHash3
90e46e89fec2108a1cb4850bb33e3563e92a14d04e1e613ac8c9311f152d294c,FileHash3
97aebda5482899fef84a24e456bff055acaa47e5ab4029f768d9e0c62a660ce2,FileHash3
acce811c4fc2a6e3fddd4231e386f1648ca44f039d2d275316bc0a0fc96e0af4,FileHash3
bf8c45e5aa9551a17eefbd1d179422c32b4309c47ee9a3f315bb80ed6d4f7efc,FileHash3
